productCode,marketCountry,signalDate,marketPricePerUnit,currency,source,reliabilityScore,trend,percentageChange
H110MA,Vietnam,2025-02-15,1027,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,0.0
H110MA,Vietnam,2025-03-15,1032,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,0.5
H110MA,Vietnam,2025-04-15,1012,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.9
H110MA,Vietnam,2025-05-15,992,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-2.0
H110MA,Vietnam,2025-06-15,977,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.5
H110MA,Vietnam,2025-07-15,967,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.0
H110MA,Vietnam,2025-08-15,962,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,-0.5
H110MA,Vietnam,2025-09-15,987,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,2.6
H110MA,Vietnam,2025-10-15,977,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.0
H110MA,Vietnam,2025-11-15,967,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.0
H110MA,Vietnam,2025-12-15,962,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,-0.5
H110MA,Vietnam,2026-01-15,982,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,2.1
H110MA,Vietnam,2026-02-15,1082,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,10.2
H110MA,Vietnam,2026-03-15,1182,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,9.2
H110MA,Vietnam,2026-04-15,1162,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.7
H110MA,Vietnam,2026-05-15,1192,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,2.6
H110MA,Vietnam,2026-06-15,1232,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,3.4
H110MA,Vietnam,2026-07-15,1252,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,1.6
H110MA,Indonesia,2025-02-15,1042,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,0.0
H110MA,Indonesia,2025-03-15,1047,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,0.5
H110MA,Indonesia,2025-04-15,1027,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.9
H110MA,Indonesia,2025-05-15,1007,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.9
H110MA,Indonesia,2025-06-15,992,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.5
H110MA,Indonesia,2025-07-15,982,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.0
H110MA,Indonesia,2025-08-15,977,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,-0.5
H110MA,Indonesia,2025-09-15,1002,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,2.6
H110MA,Indonesia,2025-10-15,992,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,-1.0
H110MA,Indonesia,2025-11-15,982,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.0
H110MA,Indonesia,2025-12-15,977,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,-0.5
H110MA,Indonesia,2026-01-15,997,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,2.0
H110MA,Indonesia,2026-02-15,1097,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,10.0
H110MA,Indonesia,2026-03-15,1197,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,9.1
H110MA,Indonesia,2026-04-15,1177,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,DOWN,-1.7
H110MA,Indonesia,2026-05-15,1207,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,2.5
H110MA,Indonesia,2026-06-15,1247,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,3.3
H110MA,Indonesia,2026-07-15,1267,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,UP,1.6
H110MA,Thailand,2025-02-15,1014,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,0.0
H110MA,Thailand,2025-03-15,1019,USD,"SEA CFR public reporting (proxy, 2024-2026)",0.9,STABLE,0.5
