productCode,marketCountry,signalDate,marketPricePerUnit,currency,source,reliabilityScore,trend,percentageChange
H110MA,Malaysia,2026-07-15,1230,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
H110MA,Vietnam,2026-07-15,1360,USD,SEA CFR 2026 public reporting (proxy),0.9,UP,4.1
H110MA,Indonesia,2026-07-15,1310,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
H110MA,Thailand,2026-07-15,1300,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
H110MA,Singapore,2026-07-15,1270,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
K8003,Malaysia,2026-07-15,1270,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
K8003,Vietnam,2026-07-15,1400,USD,SEA CFR 2026 public reporting (proxy),0.9,UP,4.1
K8003,Indonesia,2026-07-15,1350,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
K8003,Thailand,2026-07-15,1340,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
K8003,Singapore,2026-07-15,1310,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
T1000,Malaysia,2026-07-15,1190,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
T1000,Vietnam,2026-07-15,1320,USD,SEA CFR 2026 public reporting (proxy),0.9,UP,4.1
T1000,Indonesia,2026-07-15,1270,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
T1000,Thailand,2026-07-15,1260,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
T1000,Singapore,2026-07-15,1230,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
C9001,Malaysia,2026-07-15,1290,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
C9001,Vietnam,2026-07-15,1420,USD,SEA CFR 2026 public reporting (proxy),0.9,UP,4.1
C9001,Indonesia,2026-07-15,1370,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
C9001,Thailand,2026-07-15,1360,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
C9001,Singapore,2026-07-15,1330,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
F7000,Malaysia,2026-07-15,1360,USD,SEA CFR 2026 public reporting (proxy),0.9,STABLE,0.4
F7000,Vietnam,2026-07-15,1490,USD,SEA CFR 2026 public reporting (proxy),0.9,STABLE,0.4
F7000,Indonesia,2026-07-15,1440,USD,SEA CFR 2026 public reporting (proxy),0.9,STABLE,0.4
F7000,Thailand,2026-07-15,1430,USD,SEA CFR 2026 public reporting (proxy),0.9,STABLE,0.4
F7000,Singapore,2026-07-15,1400,USD,SEA CFR 2026 public reporting (proxy),0.9,STABLE,0.4
B5502,Malaysia,2026-07-15,1120,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
B5502,Vietnam,2026-07-15,1250,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
B5502,Indonesia,2026-07-15,1200,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
B5502,Thailand,2026-07-15,1190,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
B5502,Singapore,2026-07-15,1160,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
R3840,Malaysia,2026-07-15,1060,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
R3840,Vietnam,2026-07-15,1190,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
R3840,Indonesia,2026-07-15,1140,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
R3840,Thailand,2026-07-15,1130,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
R3840,Singapore,2026-07-15,1100,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
P4200,Malaysia,2026-07-15,1140,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
P4200,Vietnam,2026-07-15,1270,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
P4200,Indonesia,2026-07-15,1220,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
P4200,Thailand,2026-07-15,1210,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
P4200,Singapore,2026-07-15,1180,USD,SEA CFR 2026 public reporting (proxy),0.9,DOWN,-2.2
