productCode,marketCountry,period,quantity
H110MA,Vietnam,2024-08,648
H110MA,Vietnam,2024-09,636
H110MA,Vietnam,2024-10,632
H110MA,Vietnam,2024-11,623
H110MA,Vietnam,2024-12,649
H110MA,Vietnam,2025-01,667
H110MA,Vietnam,2025-02,737
H110MA,Vietnam,2025-03,734
H110MA,Vietnam,2025-04,741
H110MA,Vietnam,2025-05,770
H110MA,Vietnam,2025-06,739
H110MA,Vietnam,2025-07,712
H110MA,Vietnam,2025-08,673
H110MA,Vietnam,2025-09,648
H110MA,Vietnam,2025-10,650
H110MA,Vietnam,2025-11,683
H110MA,Vietnam,2025-12,693
H110MA,Vietnam,2026-01,738
H110MA,Vietnam,2026-02,780
H110MA,Vietnam,2026-03,777
H110MA,Vietnam,2026-04,804
H110MA,Vietnam,2026-05,788
H110MA,Vietnam,2026-06,767
H110MA,Vietnam,2026-07,750
H110MA,Indonesia,2024-08,562
H110MA,Indonesia,2024-09,559
H110MA,Indonesia,2024-10,565
H110MA,Indonesia,2024-11,560
H110MA,Indonesia,2024-12,572
H110MA,Indonesia,2025-01,615
H110MA,Indonesia,2025-02,620
H110MA,Indonesia,2025-03,670
H110MA,Indonesia,2025-04,693
H110MA,Indonesia,2025-05,678
H110MA,Indonesia,2025-06,650
H110MA,Indonesia,2025-07,637
H110MA,Indonesia,2025-08,592
H110MA,Indonesia,2025-09,571
H110MA,Indonesia,2025-10,581
H110MA,Indonesia,2025-11,575
H110MA,Indonesia,2025-12,601
H110MA,Indonesia,2026-01,650
H110MA,Indonesia,2026-02,686
H110MA,Indonesia,2026-03,684
H110MA,Indonesia,2026-04,697
H110MA,Indonesia,2026-05,708
H110MA,Indonesia,2026-06,686
H110MA,Indonesia,2026-07,671
H110MA,Thailand,2024-08,472
H110MA,Thailand,2024-09,470
H110MA,Thailand,2024-10,447
H110MA,Thailand,2024-11,463
H110MA,Thailand,2024-12,473
H110MA,Thailand,2025-01,517
H110MA,Thailand,2025-02,523
H110MA,Thailand,2025-03,554
H110MA,Thailand,2025-04,559
H110MA,Thailand,2025-05,570
H110MA,Thailand,2025-06,548
H110MA,Thailand,2025-07,527
H110MA,Thailand,2025-08,500
H110MA,Thailand,2025-09,472
H110MA,Thailand,2025-10,488
H110MA,Thailand,2025-11,485
H110MA,Thailand,2025-12,505
H110MA,Thailand,2026-01,538
H110MA,Thailand,2026-02,543
H110MA,Thailand,2026-03,586
H110MA,Thailand,2026-04,586
H110MA,Thailand,2026-05,594
H110MA,Thailand,2026-06,567
H110MA,Thailand,2026-07,532
H110MA,Malaysia,2024-08,443
H110MA,Malaysia,2024-09,434
H110MA,Malaysia,2024-10,432
H110MA,Malaysia,2024-11,428
H110MA,Malaysia,2024-12,444
H110MA,Malaysia,2025-01,485
H110MA,Malaysia,2025-02,514
H110MA,Malaysia,2025-03,512
H110MA,Malaysia,2025-04,541
H110MA,Malaysia,2025-05,526
H110MA,Malaysia,2025-06,507
H110MA,Malaysia,2025-07,487
H110MA,Malaysia,2025-08,462
H110MA,Malaysia,2025-09,471
H110MA,Malaysia,2025-10,453
H110MA,Malaysia,2025-11,448
H110MA,Malaysia,2025-12,474
H110MA,Malaysia,2026-01,504
H110MA,Malaysia,2026-02,533
H110MA,Malaysia,2026-03,533
H110MA,Malaysia,2026-04,549
H110MA,Malaysia,2026-05,558
H110MA,Malaysia,2026-06,532
H110MA,Malaysia,2026-07,531
H110MA,Singapore,2024-08,299
H110MA,Singapore,2024-09,293
H110MA,Singapore,2024-10,292
H110MA,Singapore,2024-11,289
H110MA,Singapore,2024-12,304
H110MA,Singapore,2025-01,308
H110MA,Singapore,2025-02,327
H110MA,Singapore,2025-03,346
H110MA,Singapore,2025-04,349
H110MA,Singapore,2025-05,356
H110MA,Singapore,2025-06,342
H110MA,Singapore,2025-07,329
H110MA,Singapore,2025-08,312
H110MA,Singapore,2025-09,299
H110MA,Singapore,2025-10,306
H110MA,Singapore,2025-11,303
H110MA,Singapore,2025-12,320
H110MA,Singapore,2026-01,341
H110MA,Singapore,2026-02,360
H110MA,Singapore,2026-03,366
H110MA,Singapore,2026-04,371
H110MA,Singapore,2026-05,377
H110MA,Singapore,2026-06,359
H110MA,Singapore,2026-07,337
T1000,Vietnam,2024-08,743
T1000,Vietnam,2024-09,759
T1000,Vietnam,2024-10,733
T1000,Vietnam,2024-11,747
T1000,Vietnam,2024-12,744
T1000,Vietnam,2025-01,800
T1000,Vietnam,2025-02,845
T1000,Vietnam,2025-03,895
T1000,Vietnam,2025-04,903
T1000,Vietnam,2025-05,897
T1000,Vietnam,2025-06,886
T1000,Vietnam,2025-07,816
T1000,Vietnam,2025-08,807
T1000,Vietnam,2025-09,790
T1000,Vietnam,2025-10,756
T1000,Vietnam,2025-11,783
T1000,Vietnam,2025-12,831
T1000,Vietnam,2026-01,829
T1000,Vietnam,2026-02,890
T1000,Vietnam,2026-03,947
T1000,Vietnam,2026-04,960
T1000,Vietnam,2026-05,917
T1000,Vietnam,2026-06,930
T1000,Vietnam,2026-07,873
T1000,Indonesia,2024-08,654
T1000,Indonesia,2024-09,641
T1000,Indonesia,2024-10,648
T1000,Indonesia,2024-11,668
T1000,Indonesia,2024-12,666
T1000,Indonesia,2025-01,716
T1000,Indonesia,2025-02,756
T1000,Indonesia,2025-03,800
T1000,Indonesia,2025-04,795
T1000,Indonesia,2025-05,777
T1000,Indonesia,2025-06,792
T1000,Indonesia,2025-07,764
T1000,Indonesia,2025-08,722
T1000,Indonesia,2025-09,707
T1000,Indonesia,2025-10,666
T1000,Indonesia,2025-11,689
T1000,Indonesia,2025-12,700
T1000,Indonesia,2026-01,757
T1000,Indonesia,2026-02,787
T1000,Indonesia,2026-03,834
T1000,Indonesia,2026-04,811
T1000,Indonesia,2026-05,845
T1000,Indonesia,2026-06,798
T1000,Indonesia,2026-07,757
T1000,Thailand,2024-08,566
T1000,Thailand,2024-09,530
T1000,Thailand,2024-10,535
T1000,Thailand,2024-11,552
T1000,Thailand,2024-12,567
T1000,Thailand,2025-01,583
T1000,Thailand,2025-02,615
T1000,Thailand,2025-03,651
T1000,Thailand,2025-04,657
T1000,Thailand,2025-05,642
T1000,Thailand,2025-06,654
T1000,Thailand,2025-07,631
T1000,Thailand,2025-08,596
T1000,Thailand,2025-09,575
T1000,Thailand,2025-10,550
T1000,Thailand,2025-11,570
T1000,Thailand,2025-12,578
T1000,Thailand,2026-01,613
T1000,Thailand,2026-02,650
T1000,Thailand,2026-03,689
T1000,Thailand,2026-04,670
T1000,Thailand,2026-05,698
T1000,Thailand,2026-06,677
T1000,Thailand,2026-07,625
T1000,Malaysia,2024-08,531
T1000,Malaysia,2024-09,520
T1000,Malaysia,2024-10,517
T1000,Malaysia,2024-11,510
T1000,Malaysia,2024-12,532
T1000,Malaysia,2025-01,546
T1000,Malaysia,2025-02,603
T1000,Malaysia,2025-03,601
T1000,Malaysia,2025-04,607
T1000,Malaysia,2025-05,602
T1000,Malaysia,2025-06,595
T1000,Malaysia,2025-07,583
T1000,Malaysia,2025-08,542
T1000,Malaysia,2025-09,531
T1000,Malaysia,2025-10,540
T1000,Malaysia,2025-11,526
T1000,Malaysia,2025-12,568
T1000,Malaysia,2026-01,602
T1000,Malaysia,2026-02,601
T1000,Malaysia,2026-03,636
T1000,Malaysia,2026-04,658
T1000,Malaysia,2026-05,655
T1000,Malaysia,2026-06,637
T1000,Malaysia,2026-07,623
T1000,Singapore,2024-08,343
T1000,Singapore,2024-09,341
T1000,Singapore,2024-10,340
T1000,Singapore,2024-11,336
T1000,Singapore,2024-12,343
T1000,Singapore,2025-01,369
T1000,Singapore,2025-02,396
T1000,Singapore,2025-03,402
T1000,Singapore,2025-04,423
T1000,Singapore,2025-05,414
T1000,Singapore,2025-06,397
T1000,Singapore,2025-07,383
T1000,Singapore,2025-08,361
T1000,Singapore,2025-09,365
T1000,Singapore,2025-10,349
T1000,Singapore,2025-11,367
T1000,Singapore,2025-12,367
T1000,Singapore,2026-01,391
T1000,Singapore,2026-02,419
T1000,Singapore,2026-03,417
T1000,Singapore,2026-04,425
T1000,Singapore,2026-05,432
T1000,Singapore,2026-06,412
T1000,Singapore,2026-07,403
K8003,Vietnam,2024-08,423
K8003,Vietnam,2024-09,420
K8003,Vietnam,2024-10,417
K8003,Vietnam,2024-11,400
K8003,Vietnam,2024-12,423
K8003,Vietnam,2025-01,455
K8003,Vietnam,2025-02,459
K8003,Vietnam,2025-03,479
K8003,Vietnam,2025-04,513
K8003,Vietnam,2025-05,510
K8003,Vietnam,2025-06,474
K8003,Vietnam,2025-07,464
K8003,Vietnam,2025-08,459
K8003,Vietnam,2025-09,423
K8003,Vietnam,2025-10,430
K8003,Vietnam,2025-11,445
K8003,Vietnam,2025-12,452
K8003,Vietnam,2026-01,479
K8003,Vietnam,2026-02,485
K8003,Vietnam,2026-03,507
K8003,Vietnam,2026-04,513
K8003,Vietnam,2026-05,521
K8003,Vietnam,2026-06,497
K8003,Vietnam,2026-07,496
K8003,Indonesia,2024-08,378
K8003,Indonesia,2024-09,354
K8003,Indonesia,2024-10,352
K8003,Indonesia,2024-11,369
K8003,Indonesia,2024-12,379
K8003,Indonesia,2025-01,407
K8003,Indonesia,2025-02,411
K8003,Indonesia,2025-03,435
K8003,Indonesia,2025-04,439
K8003,Indonesia,2025-05,429
K8003,Indonesia,2025-06,438
K8003,Indonesia,2025-07,422
K8003,Indonesia,2025-08,399
K8003,Indonesia,2025-09,384
K8003,Indonesia,2025-10,385
K8003,Indonesia,2025-11,381
K8003,Indonesia,2025-12,386
K8003,Indonesia,2026-01,422
K8003,Indonesia,2026-02,435
K8003,Indonesia,2026-03,461
K8003,Indonesia,2026-04,476
K8003,Indonesia,2026-05,467
K8003,Indonesia,2026-06,445
K8003,Indonesia,2026-07,444
K8003,Thailand,2024-08,303
K8003,Thailand,2024-09,301
K8003,Thailand,2024-10,304
K8003,Thailand,2024-11,295
K8003,Thailand,2024-12,313
K8003,Thailand,2025-01,331
K8003,Thailand,2025-02,349
K8003,Thailand,2025-03,354
K8003,Thailand,2025-04,373
K8003,Thailand,2025-05,365
K8003,Thailand,2025-06,350
K8003,Thailand,2025-07,338
K8003,Thailand,2025-08,319
K8003,Thailand,2025-09,312
K8003,Thailand,2025-10,313
K8003,Thailand,2025-11,324
K8003,Thailand,2025-12,329
K8003,Thailand,2026-01,355
K8003,Thailand,2026-02,370
K8003,Thailand,2026-03,368
K8003,Thailand,2026-04,381
K8003,Thailand,2026-05,373
K8003,Thailand,2026-06,363
K8003,Thailand,2026-07,356
K8003,Malaysia,2024-08,302
K8003,Malaysia,2024-09,278
K8003,Malaysia,2024-10,286
K8003,Malaysia,2024-11,290
K8003,Malaysia,2024-12,302
K8003,Malaysia,2025-01,311
K8003,Malaysia,2025-02,323
K8003,Malaysia,2025-03,342
K8003,Malaysia,2025-04,345
K8003,Malaysia,2025-05,343
K8003,Malaysia,2025-06,344
K8003,Malaysia,2025-07,331
K8003,Malaysia,2025-08,308
K8003,Malaysia,2025-09,302
K8003,Malaysia,2025-10,293
K8003,Malaysia,2025-11,299
K8003,Malaysia,2025-12,304
K8003,Malaysia,2026-01,323
K8003,Malaysia,2026-02,347
K8003,Malaysia,2026-03,362
K8003,Malaysia,2026-04,374
K8003,Malaysia,2026-05,372
K8003,Malaysia,2026-06,362
K8003,Malaysia,2026-07,334
K8003,Singapore,2024-08,195
K8003,Singapore,2024-09,194
K8003,Singapore,2024-10,193
K8003,Singapore,2024-11,191
K8003,Singapore,2024-12,195
K8003,Singapore,2025-01,213
K8003,Singapore,2025-02,212
K8003,Singapore,2025-03,229
K8003,Singapore,2025-04,231
K8003,Singapore,2025-05,235
K8003,Singapore,2025-06,226
K8003,Singapore,2025-07,218
K8003,Singapore,2025-08,206
K8003,Singapore,2025-09,195
K8003,Singapore,2025-10,198
K8003,Singapore,2025-11,200
K8003,Singapore,2025-12,209
K8003,Singapore,2026-01,222
K8003,Singapore,2026-02,224
K8003,Singapore,2026-03,237
K8003,Singapore,2026-04,242
K8003,Singapore,2026-05,246
K8003,Singapore,2026-06,234
K8003,Singapore,2026-07,229
C9001,Vietnam,2024-08,527
C9001,Vietnam,2024-09,494
C9001,Vietnam,2024-10,491
C9001,Vietnam,2024-11,509
C9001,Vietnam,2024-12,528
C9001,Vietnam,2025-01,543
C9001,Vietnam,2025-02,573
C9001,Vietnam,2025-03,609
C9001,Vietnam,2025-04,612
C9001,Vietnam,2025-05,598
C9001,Vietnam,2025-06,591
C9001,Vietnam,2025-07,588
C9001,Vietnam,2025-08,539
C9001,Vietnam,2025-09,528
C9001,Vietnam,2025-10,536
C9001,Vietnam,2025-11,531
C9001,Vietnam,2025-12,564
C9001,Vietnam,2026-01,600
C9001,Vietnam,2026-02,606
C9001,Vietnam,2026-03,632
C9001,Vietnam,2026-04,654
C9001,Vietnam,2026-05,664
C9001,Vietnam,2026-06,633
C9001,Vietnam,2026-07,619
C9001,Indonesia,2024-08,464
C9001,Indonesia,2024-09,455
C9001,Indonesia,2024-10,433
C9001,Indonesia,2024-11,455
C9001,Indonesia,2024-12,472
C9001,Indonesia,2025-01,478
C9001,Indonesia,2025-02,507
C9001,Indonesia,2025-03,536
C9001,Indonesia,2025-04,541
C9001,Indonesia,2025-05,551
C9001,Indonesia,2025-06,539
C9001,Indonesia,2025-07,510
C9001,Indonesia,2025-08,492
C9001,Indonesia,2025-09,472
C9001,Indonesia,2025-10,472
C9001,Indonesia,2025-11,469
C9001,Indonesia,2025-12,496
C9001,Indonesia,2026-01,505
C9001,Indonesia,2026-02,558
C9001,Indonesia,2026-03,568
C9001,Indonesia,2026-04,575
C9001,Indonesia,2026-05,584
C9001,Indonesia,2026-06,566
C9001,Indonesia,2026-07,523
C9001,Thailand,2024-08,378
C9001,Thailand,2024-09,376
C9001,Thailand,2024-10,357
C9001,Thailand,2024-11,376
C9001,Thailand,2024-12,390
C9001,Thailand,2025-01,413
C9001,Thailand,2025-02,417
C9001,Thailand,2025-03,443
C9001,Thailand,2025-04,447
C9001,Thailand,2025-05,456
C9001,Thailand,2025-06,437
C9001,Thailand,2025-07,421
C9001,Thailand,2025-08,398
C9001,Thailand,2025-09,390
C9001,Thailand,2025-10,390
C9001,Thailand,2025-11,388
C9001,Thailand,2025-12,410
C9001,Thailand,2026-01,417
C9001,Thailand,2026-02,461
C9001,Thailand,2026-03,460
C9001,Thailand,2026-04,475
C9001,Thailand,2026-05,475
C9001,Thailand,2026-06,453
C9001,Thailand,2026-07,444
C9001,Malaysia,2024-08,354
C9001,Malaysia,2024-09,353
C9001,Malaysia,2024-10,356
C9001,Malaysia,2024-11,342
C9001,Malaysia,2024-12,355
C9001,Malaysia,2025-01,388
C9001,Malaysia,2025-02,403
C9001,Malaysia,2025-03,409
C9001,Malaysia,2025-04,432
C9001,Malaysia,2025-05,427
C9001,Malaysia,2025-06,403
C9001,Malaysia,2025-07,389
C9001,Malaysia,2025-08,391
C9001,Malaysia,2025-09,377
C9001,Malaysia,2025-10,366
C9001,Malaysia,2025-11,381
C9001,Malaysia,2025-12,379
C9001,Malaysia,2026-01,403
C9001,Malaysia,2026-02,433
C9001,Malaysia,2026-03,453
C9001,Malaysia,2026-04,439
C9001,Malaysia,2026-05,446
C9001,Malaysia,2026-06,425
C9001,Malaysia,2026-07,425
C9001,Singapore,2024-08,248
C9001,Singapore,2024-09,228
C9001,Singapore,2024-10,230
C9001,Singapore,2024-11,228
C9001,Singapore,2024-12,249
C9001,Singapore,2025-01,251
C9001,Singapore,2025-02,270
C9001,Singapore,2025-03,285
C9001,Singapore,2025-04,288
C9001,Singapore,2025-05,276
C9001,Singapore,2025-06,283
C9001,Singapore,2025-07,271
C9001,Singapore,2025-08,258
C9001,Singapore,2025-09,252
C9001,Singapore,2025-10,237
C9001,Singapore,2025-11,250
C9001,Singapore,2025-12,264
C9001,Singapore,2026-01,277
C9001,Singapore,2026-02,280
C9001,Singapore,2026-03,302
C9001,Singapore,2026-04,306
C9001,Singapore,2026-05,306
C9001,Singapore,2026-06,292
C9001,Singapore,2026-07,274
F7000,Vietnam,2024-08,719
F7000,Vietnam,2024-09,694
F7000,Vietnam,2024-10,660
F7000,Vietnam,2024-11,681
F7000,Vietnam,2024-12,720
F7000,Vietnam,2025-01,729
F7000,Vietnam,2025-02,770
F7000,Vietnam,2025-03,815
F7000,Vietnam,2025-04,823
F7000,Vietnam,2025-05,816
F7000,Vietnam,2025-06,807
F7000,Vietnam,2025-07,790
F7000,Vietnam,2025-08,735
F7000,Vietnam,2025-09,720
F7000,Vietnam,2025-10,688
F7000,Vietnam,2025-11,713
F7000,Vietnam,2025-12,757
F7000,Vietnam,2026-01,771
F7000,Vietnam,2026-02,801
F7000,Vietnam,2026-03,863
F7000,Vietnam,2026-04,839
F7000,Vietnam,2026-05,887
F7000,Vietnam,2026-06,863
F7000,Vietnam,2026-07,795
F7000,Indonesia,2024-08,606
F7000,Indonesia,2024-09,603
F7000,Indonesia,2024-10,600
F7000,Indonesia,2024-11,594
F7000,Indonesia,2024-12,607
F7000,Indonesia,2025-01,653
F7000,Indonesia,2025-02,699
F7000,Indonesia,2025-03,697
F7000,Indonesia,2025-04,747
F7000,Indonesia,2025-05,731
F7000,Indonesia,2025-06,701
F7000,Indonesia,2025-07,676
F7000,Indonesia,2025-08,668
F7000,Indonesia,2025-09,644
F7000,Indonesia,2025-10,616
F7000,Indonesia,2025-11,648
F7000,Indonesia,2025-12,638
F7000,Indonesia,2026-01,690
F7000,Indonesia,2026-02,740
F7000,Indonesia,2026-03,737
F7000,Indonesia,2026-04,751
F7000,Indonesia,2026-05,763
F7000,Indonesia,2026-06,727
F7000,Indonesia,2026-07,712
F7000,Thailand,2024-08,515
F7000,Thailand,2024-09,482
F7000,Thailand,2024-10,488
F7000,Thailand,2024-11,483
F7000,Thailand,2024-12,516
F7000,Thailand,2025-01,531
F7000,Thailand,2025-02,560
F7000,Thailand,2025-03,604
F7000,Thailand,2025-04,598
F7000,Thailand,2025-05,585
F7000,Thailand,2025-06,596
F7000,Thailand,2025-07,575
F7000,Thailand,2025-08,543
F7000,Thailand,2025-09,532
F7000,Thailand,2025-10,501
F7000,Thailand,2025-11,519
F7000,Thailand,2025-12,551
F7000,Thailand,2026-01,552
F7000,Thailand,2026-02,592
F7000,Thailand,2026-03,627
F7000,Thailand,2026-04,648
F7000,Thailand,2026-05,648
F7000,Thailand,2026-06,619
F7000,Thailand,2026-07,605
F7000,Malaysia,2024-08,483
F7000,Malaysia,2024-09,474
F7000,Malaysia,2024-10,471
F7000,Malaysia,2024-11,467
F7000,Malaysia,2024-12,484
F7000,Malaysia,2025-01,497
F7000,Malaysia,2025-02,550
F7000,Malaysia,2025-03,558
F7000,Malaysia,2025-04,552
F7000,Malaysia,2025-05,583
F7000,Malaysia,2025-06,542
F7000,Malaysia,2025-07,531
F7000,Malaysia,2025-08,525
F7000,Malaysia,2025-09,483
F7000,Malaysia,2025-10,484
F7000,Malaysia,2025-11,509
F7000,Malaysia,2025-12,517
F7000,Malaysia,2026-01,550
F7000,Malaysia,2026-02,581
F7000,Malaysia,2026-03,580
F7000,Malaysia,2026-04,599
F7000,Malaysia,2026-05,608
F7000,Malaysia,2026-06,580
F7000,Malaysia,2026-07,568
F7000,Singapore,2024-08,332
F7000,Singapore,2024-09,311
F7000,Singapore,2024-10,309
F7000,Singapore,2024-11,306
F7000,Singapore,2024-12,332
F7000,Singapore,2025-01,342
F7000,Singapore,2025-02,368
F7000,Singapore,2025-03,383
F7000,Singapore,2025-04,387
F7000,Singapore,2025-05,377
F7000,Singapore,2025-06,380
F7000,Singapore,2025-07,348
F7000,Singapore,2025-08,346
F7000,Singapore,2025-09,332
F7000,Singapore,2025-10,324
F7000,Singapore,2025-11,321
F7000,Singapore,2025-12,334
F7000,Singapore,2026-01,356
F7000,Singapore,2026-02,382
